Date,Weather
2048-10-01,Light Clouds
2048-10-02,Light Clouds
2048-10-03,Heavy Clouds
2048-10-04,Thunderstorm
2048-10-05,Rain
2048-10-06,Thunderstorm
2048-10-07,Heavy Clouds
2048-10-08,Light Clouds
2048-10-09,Clear Skies
2048-10-10,Clear Skies
2048-10-11,High Winds
2048-10-12,Clear Skies
2048-10-13,Clear Skies
2048-10-14,Clear Skies
2048-10-15,Light Clouds
2048-10-16,Light Clouds
2048-10-17,Rain
2048-10-18,Heavy Clouds
2048-10-19,Light Clouds
2048-10-20,Thunderstorm
2048-10-21,Thunderstorm
2048-10-22,Thunderstorm
2048-10-23,Thunderstorm
2048-10-24,Heavy Clouds
2048-10-25,Light Clouds
2048-10-26,Light Clouds
2048-10-27,Heavy Clouds
2048-10-28,Thunderstorm
2048-10-29,Light Clouds
2048-10-30,Light Clouds
2048-10-31,High Winds
2048-11-01,High Winds
2048-11-02,Clear Skies
2048-11-03,Clear Skies
2048-11-04,Light Clouds
2048-11-05,Light Clouds
2048-11-06,Light Clouds
2048-11-07,Heavy Clouds
2048-11-08,Light Clouds
2048-11-09,Light Clouds
2048-11-10,Light Clouds
2048-11-11,Rain
2048-11-12,Light Clouds
2048-11-13,Light Clouds
2048-11-14,Light Clouds
2048-11-15,Rain
2048-11-16,Light Clouds
2048-11-17,Light Clouds
2048-11-18,Light Clouds
2048-11-19,Light Clouds
2048-11-20,Light Clouds
2048-11-21,Light Clouds
2048-11-22,Light Clouds
2048-11-23,Heavy Clouds
2048-11-24,Light Clouds
2048-11-25,Light Clouds
2048-11-26,Light Clouds
2048-11-27,Clear Skies
2048-11-28,Light Clouds
2048-11-29,Heavy Clouds
2048-11-30,Light Clouds
2048-12-01,Light Clouds
2048-12-02,Light Clouds
2048-12-03,Light Clouds
2048-12-04,Clear Skies
2048-12-05,Light Clouds
2048-12-06,Clear Skies
2048-12-07,Light Clouds
2048-12-08,Light Clouds
2048-12-09,Light Clouds
2048-12-10,Freezing Cold
2048-12-11,Heavy Clouds
2048-12-12,Snow
2048-12-13,Snow
2048-12-14,Light Clouds
2048-12-15,Snow
2048-12-16,Freezing Cold
2048-12-17,Light Clouds
2048-12-18,Heavy Clouds
2048-12-19,Freezing Cold
2048-12-20,Blizzard
2048-12-21,Blizzard
2048-12-22,Blizzard
2048-12-23,Blizzard
2048-12-24,Blizzard
2048-12-25,Blizzard
2048-12-26,Freezing Cold
2048-12-27,Light Clouds
2048-12-28,Snow
2048-12-29,Freezing Cold
